id_movie,release_date,month,day_num,day_name
48992.0,1994-10-14,octubre,14.0,viernes
10879.0,1994-06-29,junio,29.0,miercoles
10660.0,1994-07-29,julio,29.0,viernes
10714.0,1994-12-23,diciembre,23.0,viernes
41647.0,1993-09-11,septiembre,11.0,sabado
8587.0,1994-06-23,junio,23.0,jueves
1689.0,1993-12-01,diciembre,1.0,miercoles
11596.0,1994-10-13,octubre,13.0,jueves
854.0,1994-07-29,julio,29.0,viernes
9359.0,1994-05-20,mayo,20.0,viernes
23333.0,1994-09-07,septiembre,7.0,miercoles
36593.0,1994-03-18,marzo,18.0,viernes
12280.0,1994-03-18,marzo,18.0,viernes
2788.0,1994-02-18,febrero,18.0,viernes
10427.0,1993-07-08,julio,8.0,jueves
11011.0,1994-12-19,diciembre,19.0,lunes
49803.0,1994-12-01,diciembre,1.0,jueves
8987.0,1994-09-30,septiembre,30.0,viernes
1637.0,1994-06-09,junio,9.0,jueves
15128.0,1994-12-16,diciembre,16.0,viernes
8831.0,1994-09-15,septiembre,15.0,jueves
36955.0,1994-07-14,julio,14.0,jueves
10449.0,1994-04-29,abril,29.0,viernes
10395.0,1994-06-17,junio,17.0,viernes
12160.0,1994-06-24,junio,24.0,viernes
40480.0,1995-01-20,enero,20.0,viernes
52038.0,1994-12-22,diciembre,22.0,jueves
29444.0,1994-09-15,septiembre,15.0,jueves
26352.0,1994-11-23,noviembre,23.0,miercoles
39953.0,1994-09-30,septiembre,30.0,viernes
41580.0,1994-01-01,enero,1.0,sabado
315.0,1965-08-06,agosto,6.0,viernes
22067.0,1994-09-28,septiembre,28.0,miercoles
18242.0,1993-12-10,diciembre,10.0,viernes
11667.0,1994-12-22,diciembre,22.0,jueves
32502.0,1995-09-15,septiembre,15.0,viernes
267188.0,1997-12-31,diciembre,31.0,miercoles
28732.0,1995-05-13,mayo,13.0,sabado
75555.0,1995-01-20,enero,20.0,viernes
42981.0,1995-10-20,octubre,20.0,viernes
278939.0,1995-10-24,octubre,24.0,martes
291731.0,1995-05-03,mayo,3.0,miercoles
226229.0,1995-11-21,noviembre,21.0,martes
203119.0,1996-05-03,mayo,3.0,viernes
172923.0,1995-05-26,mayo,26.0,viernes
316098.0,1995-03-01,marzo,1.0,miercoles
8011.0,1994-11-29,noviembre,29.0,martes
171857.0,1995-02-24,febrero,24.0,viernes
2654.0,1994-12-12,diciembre,12.0,lunes
18069.0,1994-02-25,febrero,25.0,viernes
